"Order No","Region","Zone","Order Date","Week"
"182034478","WB UPC South","West","15-06-2020","Week 1"
"182034478","WB UPC South","West","15-06-2020","Week 1"
"182025626","Cuttack","East","15-06-2020","Week 1"
"182320023","Raipur","East","15-06-2020","Week 1"
"181963341","Guwahati","East","15-06-2020","Week 1"
"181916669","WB UPC South","West","15-06-2020","Week 1"
"182192437","Kolkata","East","15-06-2020","Week 1"
"182192437","Kolkata","East","15-06-2020","Week 1"
"182192437","Kolkata","East","15-06-2020","Week 1"
"182177759","Raipur","East","15-06-2020","Week 1"
"182000212","WB UPC South","West","15-06-2020","Week 1"
"182085467","WB UPC South","West","15-06-2020","Week 1"
"182317179","Cuttack","East","15-06-2020","Week 1"
"182317179","Cuttack","East","15-06-2020","Week 1"
"181958321","Kolkata","East","15-06-2020","Week 1"
"182007050","Raipur","East","15-06-2020","Week 1"
"182007050","Raipur","East","15-06-2020","Week 1"
"182330320","Kolkata","East","15-06-2020","Week 1"
"182330320","Kolkata","East","15-06-2020","Week 1"
"182044893","Cuttack","East","15-06-2020","Week 1"
"182044893","Cuttack","East","15-06-2020","Week 1"
"182364915","Kolkata","East","15-06-2020","Week 1"
"181941936","Raipur","East","15-06-2020","Week 1"
"181965230","Kolkata","East","15-06-2020","Week 1"
"181946033","Cuttack","East","15-06-2020","Week 1"
"182258223","Guwahati","East","15-06-2020","Week 1"
"182147349","Guwahati","East","15-06-2020","Week 1"
"182088892","WB UPC North","West","15-06-2020","Week 1"
"182017205","Raipur","East","15-06-2020","Week 1"
"181975846","Raipur","East","15-06-2020","Week 1"
"181975846","Raipur","East","15-06-2020","Week 1"
"181975846","Raipur","East","15-06-2020","Week 1"
"181975846","Raipur","East","15-06-2020","Week 1"
"181975846","Raipur","East","15-06-2020","Week 1"
"181975846","Raipur","East","15-06-2020","Week 1"
"181975846","Raipur","East","15-06-2020","Week 1"
"181975846","Raipur","East","15-06-2020","Week 1"
"182270932","Raipur","East","15-06-2020","Week 1"
"182043563","Guwahati","East","15-06-2020","Week 1"
"182043563","Guwahati","East","15-06-2020","Week 1"
"182011224","Raipur","East","15-06-2020","Week 1"
"182130174","Cuttack","East","15-06-2020","Week 1"
"182130174","Cuttack","East","15-06-2020","Week 1"
"182269154","Cuttack","East","15-06-2020","Week 1"
"182149813","Guwahati","East","15-06-2020","Week 1"
"182149813","Guwahati","East","15-06-2020","Week 1"
"182149813","Guwahati","East","15-06-2020","Week 1"
"182266745","Cuttack","East","15-06-2020","Week 1"
"182266745","Cuttack","East","15-06-2020","Week 1"
"182030313","Cuttack","East","15-06-2020","Week 1"
"182061912","Cuttack","East","15-06-2020","Week 1"
"182054246","Cuttack","East","15-06-2020","Week 1"
"182139068","WB UPC South","West","15-06-2020","Week 1"
"182100476","Raipur","East","15-06-2020","Week 1"
"181942323","WB UPC South","West","15-06-2020","Week 1"
"182126140","Guwahati","East","15-06-2020","Week 1"
"182126140","Guwahati","East","15-06-2020","Week 1"
"182126140","Guwahati","East","15-06-2020","Week 1"
"182126140","Guwahati","East","15-06-2020","Week 1"
"182126140","Guwahati","East","15-06-2020","Week 1"
"182126140","Guwahati","East","15-06-2020","Week 1"
"182126140","Guwahati","East","15-06-2020","Week 1"
"182126140","Guwahati","East","15-06-2020","Week 1"
"182126140","Guwahati","East","15-06-2020","Week 1"
"182150830","Cuttack","East","15-06-2020","Week 1"
